id,tier,source_type,question,answer,domain
IKP_T5_0682,T5,wikidata,In what year was Kidderminster Harriers F.C. founded?,1886,sports_club
IKP_T5_0683,T5,wikidata,In what year was University Museum of Bergen founded?,1825,museum
IKP_T5_0684,T5,wikidata,In what year was Schloss Drachenburg founded?,1882,museum
IKP_T5_0685,T5,wikidata,In what year was Museo dell'Opera del Duomo founded?,1891,museum
IKP_T5_0686,T5,wikidata,In what year was Museums of the Far East founded?,1921,museum
IKP_T5_0687,T5,wikidata,In what year was Glienicke Bridge opened?,1907,bridge
IKP_T5_0688,T5,wikidata,In what year was University of Saint Joseph founded?,1932,university
IKP_T5_0689,T5,wikidata,In what year was Alfreton Town F.C. founded?,1959,sports_club
IKP_T5_0690,T5,wikidata,In what year was the journal Mathematische Annalen first published?,1868,journal
IKP_T5_0691,T5,wikidata,In what year was George Eastman Museum founded?,1905,museum
IKP_T5_0692,T5,wikidata,In what year was the journal Journal of the Chemical Society first published?,1849,journal
IKP_T5_0693,T5,wikidata,In what year was Hyde United F.C. founded?,1919,sports_club
IKP_T5_0694,T5,wikidata,In what year was the journal European Journal of Organic Chemistry first published?,1998,journal
IKP_T5_0695,T5,wikidata,In what year was University of Zielona Góra founded?,2001,university
IKP_T5_0696,T5,wikidata,In what year was the journal Acta Astronomica first published?,1925,journal
IKP_T5_0697,T5,wikidata,In what year was Ambarawa Railway Museum founded?,1873,museum
IKP_T5_0698,T5,wikidata,In what year was Varna Free University founded?,1991,university
IKP_T5_0699,T5,wikidata,In what year was Pančevo Bridge opened?,1946,bridge
IKP_T5_0700,T5,wikidata,In what year was Maputo University founded?,1986,university
IKP_T5_0701,T5,wikidata,In what year was Ordensburg Vogelsang founded?,1930,museum
IKP_T5_0702,T5,wikidata,In what year was Hiroshima University founded?,1949,university
IKP_T5_0703,T5,wikidata,In what year was The Old Town founded?,1914,museum
IKP_T5_0704,T5,wikidata,In what year was Great Bridge of Hrazdan opened?,1956,bridge
IKP_T5_0705,T5,wikidata,In what year was Vesikko founded?,1934,museum
IKP_T5_0706,T5,wikidata,In what year was the journal Reviews of Modern Physics first published?,1929,journal
IKP_T5_0707,T5,wikidata,In what year was El Ferdan Railway Bridge opened?,2001,bridge
IKP_T5_0708,T5,wikidata,In what year was Matlock Town F.C. founded?,1878,sports_club
IKP_T5_0709,T5,wikidata,In what year was Calouste Gulbenkian Museum founded?,1969,museum
IKP_T5_0710,T5,wikidata,In what year was Huichon University of Telecommunications founded?,1959,university
IKP_T5_0711,T5,wikidata,In what year was King's Lynn Town F.C. founded?,2010,sports_club
IKP_T5_0712,T5,wikidata,In what year was the journal PLOS Pathogens first published?,2005,journal
IKP_T5_0713,T5,wikidata,In what year was Salford City F.C. founded?,1940,sports_club
IKP_T5_0714,T5,wikidata,In what year was Tamworth F.C. founded?,1933,sports_club
IKP_T5_0715,T5,wikidata,In what year was Rhodes University founded?,1904,university
IKP_T5_0716,T5,wikidata,In what year was Siak Sri Indrapura palace founded?,1893,museum
IKP_T5_0717,T5,wikidata,In what year was Davtashen Bridge opened?,2000,bridge
IKP_T5_0718,T5,wikidata,In what year was the journal Chemical & Engineering News first published?,1923,journal
IKP_T5_0719,T5,wikidata,In what year was Henan University founded?,1912,university
IKP_T5_0720,T5,wikidata,In what year was the journal Physikalische Zeitschrift first published?,1899,journal
IKP_T5_0721,T5,wikidata,In what year was Site of the First Congress of the Chinese Communist Party founded?,1920,museum
IKP_T5_0722,T5,wikidata,In what year was Hednesford Town F.C. founded?,1880,sports_club
IKP_T5_0723,T5,wikidata,In what year was Israeli Film Archive Jerusalem Cinematheque founded?,1974,museum
IKP_T5_0724,T5,wikidata,In what year was Université Abdou Moumouni founded?,1971,university
IKP_T5_0725,T5,wikidata,In what year was the journal Biology Letters first published?,2005,journal
IKP_T5_0726,T5,wikidata,In what year was University of Louisiana at Lafayette founded?,1900,university
IKP_T5_0727,T5,wikidata,In what year was the journal Organic Syntheses first published?,1921,journal
IKP_T5_0728,T5,wikidata,In what year was Halesowen Town F.C. founded?,1873,sports_club
IKP_T5_0729,T5,wikidata,In what year was Club Deportivo Guadalajara founded?,1947,sports_club
IKP_T5_0730,T5,wikidata,In what year was the journal Nature Nanotechnology first published?,2006,journal
IKP_T5_0731,T5,wikidata,In what year was University of Łódź founded?,1945,university
IKP_T5_0732,T5,wikidata,In what year was Danish Film Institute founded?,1972,museum
IKP_T5_0733,T5,wikidata,In what year was Altonaer Museum founded?,1863,museum
IKP_T5_0734,T5,wikidata,In what year was Dartford F.C. founded?,1888,sports_club
IKP_T5_0735,T5,wikidata,In what year was Chorley F.C. founded?,1883,sports_club
IKP_T5_0736,T5,wikidata,In what year was Palace of Iturbide founded?,1785,museum
IKP_T5_0737,T5,wikidata,In what year was the journal Nature Genetics first published?,1992,journal
IKP_T5_0738,T5,wikidata,In what year was Yi Sun-sin Bridge opened?,2012,bridge
IKP_T5_0739,T5,wikidata,In what year was Beijing Institute of Technology founded?,1940,university
IKP_T5_0740,T5,wikidata,In what year was Worksop Town F.C. founded?,1930,sports_club
IKP_T5_0741,T5,wikidata,In what year was the journal Organometallics first published?,1982,journal
IKP_T5_0742,T5,wikidata,In what year was University of the East founded?,1946,university
IKP_T5_0743,T5,wikidata,In what year was the journal Journal of Paleontology first published?,1927,journal
IKP_T5_0744,T5,wikidata,In what year was Allenby Bridge opened?,1994,bridge
IKP_T5_0745,T5,wikidata,In what year was the journal Inorganic Chemistry first published?,1962,journal
IKP_T5_0746,T5,wikidata,In what year was Chemin de fer du Montenvers founded?,1909,museum
IKP_T5_0747,T5,wikidata,In what year was Zentralbibliothek Zürich founded?,1917,museum
IKP_T5_0748,T5,wikidata,In what year was the journal Journal of Chemical Physics first published?,1933,journal
IKP_T5_0749,T5,wikidata,In what year was Stocksbridge Park Steels F.C. founded?,1986,sports_club
IKP_T5_0750,T5,wikidata,In what year was Guangxi Normal University founded?,1932,university
IKP_T5_0751,T5,wikidata,In what year was Mundaneum founded?,1993,museum
IKP_T5_0752,T5,wikidata,In what year was I-35W Mississippi River bridge opened?,1967,bridge
IKP_T5_0753,T5,wikidata,In what year was the journal Journal of the American Chemical Society first published?,1879,journal
IKP_T5_0754,T5,wikidata,In what year was Tajik–Afghan Friendship Bridge opened?,2004,bridge
IKP_T5_0755,T5,wikidata,In what year was Oil & Gas University of Ploiești founded?,1948,university
IKP_T5_0756,T5,wikidata,In what year was Guinness Storehouse founded?,2000,museum
IKP_T5_0757,T5,wikidata,In what year was Rakvere JK Tarvas founded?,2004,sports_club
IKP_T5_0758,T5,wikidata,In what year was Sami Bridge opened?,1993,bridge
IKP_T5_0759,T5,wikidata,In what year was Riffelalp decauville founded?,2001,museum
IKP_T5_0760,T5,wikidata,In what year was Vilnius Gediminas Technical University founded?,1956,university
IKP_T5_0761,T5,wikidata,In what year was the journal Nature Methods first published?,2004,journal
IKP_T5_0762,T5,wikidata,In what year was Walter Sisulu University founded?,2005,university
IKP_T5_0763,T5,wikidata,In what year was Brothers Somali Fc founded?,1967,sports_club
IKP_T5_0764,T5,wikidata,In what year was North Ferriby United A.F.C. founded?,1934,sports_club
IKP_T5_0765,T5,wikidata,In what year was Gateshead Millennium Bridge opened?,2001,bridge
IKP_T5_0766,T5,wikidata,In what year was ARA Uruguay founded?,1874,museum
IKP_T5_0767,T5,wikidata,In what year was Grunwald Bridge opened?,1910,bridge
IKP_T5_0768,T5,wikidata,In what year was German Emigration Center founded?,2005,museum
IKP_T5_0769,T5,wikidata,In what year was National University of East Timor founded?,1965,university
IKP_T5_0770,T5,wikidata,In what year was Mahatma Gandhi Setu opened?,1982,bridge
IKP_T5_0771,T5,wikidata,In what year was Exploratorium founded?,1969,museum
IKP_T5_0772,T5,wikidata,In what year was the journal Astronomische Nachrichten first published?,1821,journal
IKP_T5_0773,T5,wikidata,In what year was Bread Museum founded?,1983,museum
IKP_T5_0774,T5,wikidata,In what year was Afghanistan–Uzbekistan Friendship Bridge opened?,1982,bridge
IKP_T5_0775,T5,wikidata,In what year was the journal Angewandte Chemie first published?,1949,journal
IKP_T5_0776,T5,wikidata,In what year was Witton Albion F.C. founded?,1887,sports_club
IKP_T5_0777,T5,wikidata,In what year was Farsley Celtic F.C. founded?,1908,sports_club
IKP_T5_0778,T5,wikidata,In what year was AFC Fylde founded?,1988,sports_club
IKP_T5_0779,T5,wikidata,In what year was the journal Chemical Communications first published?,1996,journal
IKP_T5_0780,T5,wikidata,In what year was Kizuna bridge opened?,2001,bridge
IKP_T5_0781,T5,wikidata,In what year was Harbin Engineering University founded?,1953,university
IKP_T5_0782,T5,wikidata,In what year was Glover Garden founded?,1863,museum
IKP_T5_0783,T5,wikidata,In what year was the journal Notices of the American Mathematical Society first published?,1953,journal
IKP_T5_0784,T5,wikidata,In what year was Stamford A.F.C. founded?,1896,sports_club
IKP_T5_0785,T5,wikidata,In what year was Barton Swing Aqueduct opened?,1894,bridge
IKP_T5_0786,T5,wikidata,In what year was Salahaddin University-Erbil founded?,1981,university
IKP_T5_0787,T5,wikidata,In what year was New York University Tandon School of Engineering founded?,1854,university
IKP_T5_0788,T5,wikidata,In what year was the journal Nature Chemical Biology first published?,2005,journal
IKP_T5_0789,T5,wikidata,In what year was Rickmer Rickmers founded?,1896,museum
IKP_T5_0790,T5,wikidata,In what year was Deutscher Dom founded?,1785,museum
IKP_T5_0791,T5,wikidata,In what year was Namangan State University founded?,1942,university
IKP_T5_0792,T5,wikidata,In what year was the journal Deutsche Medizinische Wochenschrift first published?,1875,journal
IKP_T5_0793,T5,wikidata,In what year was the journal Advanced Materials first published?,1988,journal
IKP_T5_0794,T5,wikidata,In what year was Buxton F.C. founded?,1877,sports_club
IKP_T5_0795,T5,wikidata,In what year was Zeugma Mosaic Museum founded?,2011,museum
IKP_T5_0796,T5,wikidata,In what year was Talyllyn Railway founded?,1866,museum
IKP_T5_0797,T5,wikidata,In what year was the journal Current Biology first published?,1991,journal
IKP_T5_0798,T5,wikidata,In what year was the journal Nature Immunology first published?,2000,journal
IKP_T5_0799,T5,wikidata,In what year was Zentrum Paul Klee founded?,2005,museum
IKP_T5_0800,T5,wikidata,In what year was Royal and Pontifical University of Mexico founded?,1551,university
IKP_T5_0801,T5,wikidata,In what year was Mont Blanc Tramway founded?,1913,museum
IKP_T5_0802,T5,wikidata,In what year was Marine F.C. founded?,1894,sports_club
IKP_T5_0803,T5,wikidata,In what year was University of Massachusetts Amherst founded?,1863,university
IKP_T5_0804,T5,wikidata,In what year was Stone Bridge opened?,1957,bridge
IKP_T5_0805,T5,wikidata,In what year was Platanias Chania F.C. founded?,1931,sports_club
IKP_T5_0806,T5,wikidata,In what year was Radcliffe F.C. founded?,1949,sports_club
IKP_T5_0807,T5,wikidata,In what year was Moscow Sun Yat-sen University founded?,1925,university
IKP_T5_0808,T5,wikidata,In what year was Prinsenhof founded?,1897,museum
IKP_T5_0809,T5,wikidata,In what year was L. N. Gumilyov Eurasian National University founded?,1996,university
IKP_T5_0810,T5,wikidata,In what year was Severn Bridge opened?,1966,bridge
IKP_T5_0811,T5,wikidata,In what year was Oxford Brookes University founded?,1865,university
IKP_T5_0812,T5,wikidata,In what year was Wealdstone F.C. founded?,1899,sports_club
IKP_T5_0813,T5,wikidata,In what year was Palace of Kuskovo founded?,1737,museum
IKP_T5_0814,T5,wikidata,In what year was the journal Acta Botanica Brasilica first published?,1987,journal
IKP_T5_0815,T5,wikidata,In what year was Broadway Bridge opened?,1962,bridge
IKP_T5_0816,T5,wikidata,In what year was the journal Cell first published?,1974,journal
IKP_T5_0817,T5,wikidata,In what year was the journal Nature Reviews Genetics first published?,2000,journal
IKP_T6_0818,T6,researcher,What is the research field of Po-An Tsai?,computer architecture,computer_science
IKP_T6_0819,T6,researcher,What is the research field of Hongzhou Wang?,machine learning,people
IKP_T6_0820,T6,researcher,What is the research field of Mehdi Cherkaoui?,machine learning,people
IKP_T6_0821,T6,researcher,What is the research field of David Heath?,computer security,computer_science
IKP_T6_0822,T6,researcher,What is the research field of Angus Griffith?,machine learning,people
IKP_T6_0823,T6,researcher,What is the research field of Yuansheng Wang?,machine learning,people
IKP_T6_0824,T6,researcher,What is the research field of Sangjin Choi?,computer architecture,people
IKP_T6_0825,T6,researcher,What is the research field of Yi Gao?,computer networking,computer_science
IKP_T6_0826,T6,researcher,What is the research field of Xiaowu Cai?,computer architecture,computer_science
IKP_T6_0827,T6,researcher,What is the research field of Jonathan DiLorenzo?,programming languages,people
IKP_T6_0828,T6,researcher,What is the research field of Fenghua Li?,machine learning,people
IKP_T6_0829,T6,researcher,What is the research field of Mohammad Borhani?,computer networking,computer_science
IKP_T6_0830,T6,researcher,What is the research field of Pavel Chuprikov?,programming languages,computer_science
IKP_T6_0831,T6,researcher,What is the research field of Martina Lindorfer?,computer security,people
IKP_T6_0832,T6,researcher,What is the research field of Yongbin Zhou?,machine learning,people
IKP_T6_0833,T6,researcher,What is the research field of Fenghao Dong?,computer networking,computer_science
IKP_T6_0834,T6,researcher,What is the research field of Chao Wang?,machine learning,people
IKP_T6_0835,T6,researcher,What is the research field of Sihang Liu?,machine learning,people
IKP_T6_0836,T6,researcher,What is the research field of Yuekai Jia?,computer graphics,people
IKP_T6_0837,T6,researcher,What is the research field of Zaifeng Pan?,computer architecture,computer_science
IKP_T6_0838,T6,researcher,What is the research field of Akhila Rao?,computer networking,computer_science
IKP_T6_0839,T6,researcher,What is the research field of Zhuo Liang?,machine learning,people
IKP_T6_0840,T6,researcher,What is the research field of Naiqian Zheng?,computer networking,computer_science
IKP_T6_0841,T6,researcher,What is the research field of Andrew Litteken?,computer architecture,computer_science
IKP_T6_0842,T6,researcher,What is the research field of Nehal Abd El-Salam Mohamed?,computer security,people
IKP_T6_0843,T6,researcher,What is the research field of Seungjun Kim?,computer architecture,people
IKP_T6_0844,T6,researcher,What is the research field of Won Wook Song?,operating systems,computer_science
IKP_T6_0845,T6,researcher,What is the research field of Yizhou Shan?,operating systems,computer_science
IKP_T6_0846,T6,researcher,What is the research field of Jeff Libby?,computer networking,computer_science
IKP_T6_0847,T6,researcher,What is the research field of Shinya Kaji?,computer architecture,people
IKP_T6_0848,T6,researcher,What is the research field of Daniela Mechkaroska?,computer security,people
IKP_T6_0849,T6,researcher,What is the research field of Joshua J. Bowden?,operating systems,people
IKP_T6_0850,T6,researcher,What is the research field of Teodora Ilieva?,operating systems,computer_science
IKP_T6_0851,T6,researcher,What is the research field of Feng Chen?,machine learning,people
IKP_T6_0852,T6,researcher,What is the research field of Hoang-Anh Pham?,machine learning,people
IKP_T6_0853,T6,researcher,What is the research field of Gaurav Gautam?,computer networking,computer_science
IKP_T6_0854,T6,researcher,What is the research field of Ziyi Lu?,machine learning,people
IKP_T6_0855,T6,researcher,What is the research field of Lizhuang Tan?,computer networking,computer_science
IKP_T6_0856,T6,researcher,What is the research field of Zipeng Pan?,computer networking,computer_science
IKP_T6_0857,T6,researcher,What is the research field of Iago Storch?,computer graphics,people
IKP_T6_0858,T6,researcher,What is the research field of Cecilia Testart?,computer networking,computer_science
IKP_T6_0859,T6,researcher,What is the research field of Yining Shi?,operating systems,computer_science
IKP_T6_0860,T6,researcher,What is the research field of Andrei Ivanov?,information retrieval,people
IKP_T6_0861,T6,researcher,What is the research field of Federico Moretto?,computer networking,people
IKP_T6_0862,T6,researcher,What is the research field of Mahbod Afarin?,database systems,people
IKP_T6_0863,T6,researcher,What is the research field of Lingfeng Pei?,computer architecture,computer_science
IKP_T6_0864,T6,researcher,What is the research field of Kun Guo?,machine learning,people
IKP_T6_0865,T6,researcher,What is the research field of Hanfeng Chen?,computer architecture,computer_science
IKP_T6_0866,T6,researcher,What is the research field of Jiarong Xing?,computer networking,computer_science
IKP_T6_0867,T6,researcher,What is the research field of Ruijun Liu?,machine learning,people
IKP_T6_0868,T6,researcher,What is the research field of Diogo Behrens?,computer architecture,computer_science
IKP_T6_0869,T6,researcher,What is the research field of Sundararajan Renganathan?,computer networking,computer_science
IKP_T6_0870,T6,researcher,What is the research field of Wenlong Hou?,operating systems,computer_science
IKP_T6_0871,T6,researcher,What is the research field of Hao Guo?,machine learning,people
IKP_T6_0872,T6,researcher,What is the research field of Mitchel Dickerson?,computer security,people
IKP_T6_0873,T6,researcher,What is the research field of Rodrigo Rodrigues?,distributed systems,people
IKP_T6_0874,T6,researcher,What is the research field of Gerry Wan?,computer networking,computer_science
IKP_T6_0875,T6,researcher,What is the research field of MyoungGon Kim?,computer architecture,people
IKP_T6_0876,T6,researcher,What is the research field of Yangfan Zhang?,computer networking,computer_science
IKP_T6_0877,T6,researcher,What is the research field of Saurabh Agarwal?,operating systems,computer_science
IKP_T6_0878,T6,researcher,What is the research field of Thales Bandiera Paiva?,computer security,people
IKP_T6_0879,T6,researcher,What is the research field of Henri Maxime Demoulin?,operating systems,computer_science
IKP_T6_0880,T6,researcher,What is the research field of Yao Wang?,machine learning,people
IKP_T6_0881,T6,researcher,What is the research field of Xiaoyong Liu?,machine learning,people
IKP_T6_0882,T6,wikidata,In what year was Lincoln United F.C. founded?,1938,sports_club
IKP_T6_0883,T6,wikidata,In what year was the journal Paleontological Journal first published?,1967,journal
IKP_T6_0884,T6,wikidata,In what year was the journal Carcinogenesis first published?,1980,journal
IKP_T6_0885,T6,wikidata,In what year was University of Texas at Tyler founded?,1971,university
IKP_T6_0886,T6,wikidata,In what year was the journal BMC Cancer first published?,2001,journal
IKP_T6_0887,T6,wikidata,In what year was the journal Historical Materialism first published?,1997,journal
IKP_T6_0888,T6,wikidata,In what year was Moscow University for the Humanities founded?,1944,university
IKP_T6_0889,T6,wikidata,In what year was Whitby Town F.C. founded?,1880,sports_club
IKP_T6_0890,T6,wikidata,In what year was Warrington Town F.C. founded?,1949,sports_club
IKP_T6_0891,T6,wikidata,In what year was National University of Costa Rica founded?,1973,university
IKP_T6_0892,T6,wikidata,In what year was the journal Academy of Management Review first published?,1976,journal
IKP_T6_0893,T6,wikidata,In what year was Cumbres and Toltec Scenic Railroad founded?,1970,museum
IKP_T6_0894,T6,wikidata,In what year was Blonay–Chamby Museum Railway founded?,1968,museum
IKP_T6_0895,T6,wikidata,In what year was Gatchina Museum-Preserve founded?,1918,museum
IKP_T6_0896,T6,wikidata,In what year was the journal Proceedings of the Academy of Sciences first published?,1992,journal
IKP_T6_0897,T6,wikidata,In what year was Kidsgrove Athletic F.C. founded?,1952,sports_club
IKP_T6_0898,T6,wikidata,In what year was Böda Skogsjärnväg founded?,1974,museum
IKP_T6_0899,T6,wikidata,In what year was Ida Bay Railway founded?,1919,museum
IKP_T6_0900,T6,wikidata,In what year was Belper Town F.C. founded?,1883,sports_club
IKP_T6_0901,T6,wikidata,In what year was the journal Palaeontology first published?,1957,journal
IKP_T6_0902,T6,wikidata,In what year was Magna Græcia University founded?,1998,university
IKP_T6_0903,T6,wikidata,In what year was Chemin de fer du Vivarais founded?,1969,museum
IKP_T6_0904,T6,wikidata,In what year was Ramsbottom United F.C. founded?,1966,sports_club
IKP_T6_0905,T6,wikidata,In what year was the journal JAMA Neurology first published?,1960,journal
IKP_T6_0906,T6,wikidata,In what year was SS Hestmanden founded?,2017,museum
IKP_T6_0907,T6,wikidata,In what year was Newcastle Town F.C. founded?,1964,sports_club
IKP_T6_0908,T6,wikidata,In what year was Garforth Town A.F.C. founded?,1964,sports_club
IKP_T6_0909,T6,wikidata,In what year was Tsuru University founded?,1953,university
IKP_T6_0910,T6,wikidata,In what year was Ossett Town F.C. founded?,1936,sports_club
IKP_T6_0911,T6,wikidata,In what year was Coalville Town F.C. founded?,1926,sports_club
IKP_T6_0912,T6,wikidata,In what year was the journal Monumenta Nipponica first published?,1938,journal
IKP_T6_0913,T6,wikidata,In what year was Hyogo University of Teacher Education founded?,1978,university
IKP_T6_0914,T6,wikidata,In what year was the journal Journal of inorganic and general chemistry first published?,1892,journal
IKP_T6_0915,T6,wikidata,In what year was the journal British Journal of Cancer first published?,1947,journal
IKP_T6_0916,T6,wikidata,"In what year was the journal Cancer Epidemiology, Biomarkers & Prevention first published?",1991,journal
IKP_T6_0917,T6,wikidata,In what year was Cheongju National University of Education founded?,1993,university
IKP_T6_0918,T6,wikidata,In what year was Gansu Tianma F.C. founded?,1999,sports_club
IKP_T6_0919,T6,wikidata,In what year was Iași University of Life Sciences founded?,1912,university
IKP_T6_0920,T6,wikidata,In what year was Soviet submarine D-2 Narodovolets founded?,1927,museum
IKP_T6_0921,T6,wikidata,In what year was Rjukan Line founded?,1909,museum
IKP_T6_0922,T6,wikidata,In what year was North Yorkshire Moors Railway founded?,1836,museum
IKP_T6_0923,T6,wikidata,In what year was Haderslevbanen founded?,1866,museum
IKP_T6_0924,T6,wikidata,In what year was Mickleover F.C. founded?,1948,sports_club
IKP_T6_0925,T6,wikidata,In what year was Chasetown F.C. founded?,1954,sports_club
IKP_T6_0926,T6,wikidata,In what year was Eastwood Town F.C. founded?,1953,sports_club
IKP_T6_0927,T6,wikidata,In what year was the journal Clinical Science first published?,1909,journal
IKP_T6_0928,T6,wikidata,In what year was Skelmersdale United F.C. founded?,1882,sports_club
IKP_T6_0929,T6,wikidata,In what year was the journal Astronomy Letters first published?,1994,journal
IKP_T6_0930,T6,wikidata,In what year was Hucknall Town F.C. founded?,1976,sports_club
IKP_T6_0931,T6,wikidata,In what year was Rozhdestveno Memorial Estate founded?,1974,museum
IKP_T6_0932,T6,wikidata,In what year was the journal Journal of the National Cancer Institute first published?,1940,journal
IKP_T6_0933,T6,wikidata,In what year was the journal Cancer first published?,1948,journal
IKP_T6_0934,T6,wikidata,In what year was Hanbat National University founded?,1927,university
IKP_T6_0935,T6,wikidata,In what year was the journal Cancer Cell first published?,2002,journal
IKP_T6_0936,T6,wikidata,In what year was the journal Kant-Studien first published?,1896,journal
IKP_T6_0937,T6,wikidata,In what year was Frickley Athletic F.C. founded?,1910,sports_club
IKP_T6_0938,T6,wikidata,In what year was USS Barry founded?,1984,museum
IKP_T6_0939,T6,wikidata,In what year was Shenyang Ligong University founded?,1948,university
IKP_T6_0940,T6,wikidata,In what year was the journal Academy of Management Journal first published?,1958,journal
IKP_T6_0941,T6,wikidata,In what year was Market Drayton Town F.C. founded?,1969,sports_club
IKP_T6_0942,T6,wikidata,In what year was the journal PalZ first published?,1913,journal
IKP_T6_0943,T6,wikidata,In what year was the journal Cancer Research first published?,1941,journal
IKP_T6_0944,T6,wikidata,In what year was University of La Guajira founded?,1977,university
IKP_T6_0945,T6,wikidata,In what year was Loughborough Dynamo F.C. founded?,1955,sports_club
IKP_T6_0946,T6,wikidata,In what year was the journal Advanced Synthesis & Catalysis first published?,1834,journal
IKP_T6_0947,T6,wikidata,In what year was Site historique maritime de la Pointe-au-Père founded?,1980,museum
IKP_T6_0948,T6,wikidata,In what year was University of Dillingen founded?,1551,university
IKP_T6_0949,T6,wikidata,In what year was National Conservatory of Argentina founded?,1924,university
IKP_T6_0950,T6,wikidata,In what year was Friends University founded?,1898,university
IKP_T6_0951,T6,wikidata,In what year was the journal Annals of Oncology first published?,1990,journal
IKP_T6_0952,T6,wikidata,In what year was the journal Copeia first published?,1913,journal
IKP_T6_0953,T6,wikidata,In what year was the journal International Journal of Cancer first published?,1966,journal
IKP_T6_0954,T6,wikidata,In what year was Prescot Cables F.C. founded?,1884,sports_club
IKP_T6_0955,T6,wikidata,In what year was the journal Current Cancer Drug Targets first published?,2001,journal
IKP_T6_0956,T6,wikidata,In what year was B-413 founded?,2000,museum
IKP_T6_0957,T6,wikidata,In what year was Art Stations of the Naples Metro founded?,2001,museum
IKP_T6_0958,T6,wikidata,In what year was Ilkeston F.C. founded?,2010,sports_club
IKP_T6_0959,T6,wikidata,In what year was Trafford F.C. founded?,1990,sports_club
IKP_T6_0960,T6,wikidata,In what year was Curzon Ashton F.C. founded?,1963,sports_club
IKP_T6_0961,T6,wikidata,In what year was Catholic Private University Linz founded?,1672,university
IKP_T6_0962,T6,wikidata,In what year was IIE MSA founded?,2001,university
IKP_T6_0963,T6,wikidata,In what year was the journal Acta Oncologica first published?,1963,journal
IKP_T6_0964,T6,wikidata,In what year was Kharkiv State University of Food Technology and Trade founded?,1967,university
IKP_T6_0965,T6,wikidata,In what year was Gyeongin National University of Education founded?,1993,university
IKP_T6_0966,T6,wikidata,In what year was Vietnam Aviation Academy founded?,2006,university
IKP_T6_0967,T6,wikidata,In what year was the journal Clinical Breast Cancer first published?,2000,journal
IKP_T6_0968,T6,wikidata,In what year was Musée de l'Imprimerie et de la Communication Graphique founded?,1963,museum
IKP_T6_0969,T6,wikidata,In what year was Grantham Town F.C. founded?,1874,sports_club
IKP_T6_0970,T6,wikidata,In what year was Eulji University founded?,1981,university
IKP_T6_0971,T6,wikidata,In what year was Gresley F.C. founded?,1882,sports_club
IKP_T6_0972,T6,wikidata,In what year was the journal Annals of Science first published?,1936,journal
IKP_T6_0973,T6,wikidata,In what year was the journal Cancer Letters first published?,1975,journal
IKP_T6_0974,T6,wikidata,In what year was Kendal Town F.C. founded?,1919,sports_club
IKP_T6_0975,T6,wikidata,In what year was Kanazawa College of Art founded?,1946,university
IKP_T6_0976,T6,wikidata,In what year was Abbey Hey F.C. founded?,1902,sports_club
IKP_T6_0977,T6,wikidata,In what year was Clitheroe F.C. founded?,1877,sports_club
IKP_T6_0978,T6,wikidata,In what year was Mane-Katz Museum founded?,1977,museum
IKP_T6_0979,T6,wikidata,In what year was the journal European Journal of Cancer first published?,1965,journal
IKP_T6_0980,T6,wikidata,In what year was the journal Lethaia first published?,1968,journal
IKP_T6_0981,T6,wikidata,In what year was Ełcka Kolej Wąskotorowa founded?,1912,museum
IKP_T6_0982,T6,wikidata,In what year was Blaenavon Ironworks founded?,1789,museum
IKP_T6_0983,T6,wikidata,In what year was Heimwehfluhbahn founded?,1906,museum
IKP_T6_0984,T6,wikidata,In what year was Utah State University Eastern founded?,1937,university
IKP_T6_0985,T6,wikidata,In what year was Sutton Coldfield Town F.C. founded?,1879,sports_club
IKP_T6_0986,T6,wikidata,In what year was New Mills A.F.C. founded?,1919,sports_club
IKP_T6_0987,T6,wikidata,In what year was the journal Gazzetta Chimica Italiana first published?,1871,journal
IKP_T6_0988,T6,wikidata,In what year was Österreichischer Skulpturenpark founded?,2003,museum
IKP_T6_0989,T6,wikidata,In what year was Stoomtrein Goes - Borsele founded?,1971,museum
IKP_T6_0990,T6,wikidata,In what year was Nikolaevskaya railway founded?,1851,museum
IKP_T6_0991,T6,wikidata,In what year was University of Transkei founded?,1977,university
IKP_T6_0992,T6,wikidata,In what year was Gyeongnam National University of Science and Technology founded?,1910,university
IKP_T6_0993,T6,wikidata,In what year was Rushall Olympic F.C. founded?,1893,sports_club
IKP_T6_0994,T6,wikidata,In what year was the journal Acta Sociologica first published?,1955,journal
IKP_T6_0995,T6,wikidata,In what year was Princess of Naradhiwas University founded?,2005,university
IKP_T6_0996,T6,wikidata,In what year was the journal Administration Science Quarterly first published?,1956,journal
IKP_T6_0997,T6,wikidata,In what year was Casa Na Bolom founded?,1950,museum
IKP_T6_0998,T6,wikidata,In what year was Vicenza Calcio founded?,1902,sports_club
IKP_T6_0999,T6,wikidata,In what year was the journal Meteorologische Zeitschrift first published?,1866,journal
IKP_T6_1000,T6,wikidata,In what year was Igualada Leather Museum founded?,1954,museum
IKP_T6_1001,T6,wikidata,In what year was Kosmonavt Viktor Patsaev founded?,1968,museum
IKP_T6_1002,T6,wikidata,In what year was the journal Clinical Cancer Research first published?,1995,journal
IKP_T6_1003,T6,wikidata,In what year was the journal Zeitschrift fuer die Neutestamentliche Wissenschaft first published?,1900,journal
IKP_T6_1004,T6,wikidata,In what year was Lynton and Barnstaple Railway founded?,1898,museum
IKP_T6_1005,T6,wikidata,In what year was the journal Anticancer Research first published?,1981,journal
